,accuracy,precision,recall,f1_score,training_time
Baseline_LR,0.9845,0.9846294179636518,0.9845,0.9844953017977417,1.4074833393096924
Advanced_SVM,0.98725,0.987368162826694,0.98725,0.9872480362133613,57.71217584609985
Random_Forest,0.983,0.9831798881223867,0.983,0.9830123627584412,4.296409845352173
Naive_Bayes,0.97975,0.9801235372722269,0.97975,0.9796859223539269,0.31922173500061035
XGBoost,0.98125,0.9814187192491954,0.98125,0.9812600118316578,45.34998536109924
LightGBM,0.983,0.983161894434672,0.983,0.9830189018231209,6.57902455329895
CatBoost,0.95975,0.9626086727330911,0.95975,0.9602893163004725,174.40717363357544
Ensemble_Voting,0.98475,0.9849338817448142,0.98475,0.9847482778093273,314.6679894924164
